Place,Full_Address
Reedy Creek,"Reedy Creek, Poinciana, Reedy Creek Improvement District, Osceola County, Florida, 34747, United States"
Byron Bay,"Byron Bay, Byron Shire Council, New South Wales, 2481, Australia"
Cockatoo,"Cockatoo, Melbourne, Shire of Cardinia, Victoria, 3781, Australia"
Cottesloe,"Cottesloe, Town of Cottesloe, Western Australia, 6011, Australia"
Cranbourne,"Cranbourne, Bracknell Forest, South East England, England, SL4 2FA, United Kingdom"
Melton,"Melton, Leicestershire, East Midlands, England, United Kingdom"
the Dandenong Ranges in Victoria,"Dandenong Ranges Botanic Garden, Predator Track, Olinda, Melbourne, Shire of Yarra Ranges, Victoria, 3788, Australia"
Darwin,"Darwin, City of Darwin, Northern Territory, 0800, Australia"
San Francisco,"San Francisco, San Francisco City and County, California, United States"
Gungahlin,"District of Gungahlin, Australian Capital Territory, Australia"
North Gosford,"North Gosford, Central Coast Council, New South Wales, 2250, Australia"
Alice Springs,"Alice Springs, Town of Alice Springs, Northern Territory, Australia"
Ballarat,"Ballarat, City of Ballarat, Victoria, 3350, Australia"
Merredin,"Shire Of Merredin, Western Australia, 6415, Australia"
Bondi Beach,"Bondi Beach, Sydney, Waverley Council, New South Wales, 2026, Australia"
Easter,"Easter, Castro County, Texas, United States"
Wellington,"Wellington, Wellington City, Wellington, 6011, New Zealand / Aotearoa"
Perth Values,None
Hollywood,"Hollywood, Los Angeles, Los Angeles County, California, 90028-8127, United States"
Cisco,"Cisco, Eastland County, Texas, United States"
Perth City,"Perth, City of Perth, Western Australia, 6000, Australia"
Preston,"Preston, Lancashire, North West England, England, United Kingdom"
ACT,"Australian Capital Territory, Australia"
Capital Region,"Höfuðborgarsvæðið, Ísland"
Illawarra,"Illawarra, New South Wales, Australia"
Dallas,"Dallas, Dallas County, Texas, United States"
Greater Brisbane,"Breyer Group Stadium, Breyer  Group Stadium, Brisbane Road, Leyton, London Borough of Waltham Forest, London, Greater London, England, E10 5NF, United Kingdom"
Trough,"Trough, Cloghera ED, Killaloe Municipal District, County Clare, Munster, Éire / Ireland"
Values,"Валюш, Жемчужненский сельский Совет, Барановичский район, Брестская область, Беларусь"
Tallwoods Village,"Tallwoods Village, Mid-Coast Council, New South Wales, 2430, Australia"
Clermont,"Clermont, Oise, Hauts-de-France, France métropolitaine, 60600, France"
Burswood,"Burswood, Town of Victoria Park, Western Australia, 6100, Australia"
Berwick,"Berwick-upon-Tweed, Northumberland, North East England, England, United Kingdom"
Pakenham,"Pakenham, Railway Avenue, Pakenham, Melbourne, Shire of Cardinia, Victoria, 3810, Australia"
Werribee,"Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia"
the City of Nedlands,"City of Nedlands, Western Australia, Australia"
North Fremantle,"North Fremantle, City of Fremantle, Western Australia, 6159, Australia"
City Beach,"City Beach, Town Of Cambridge, Western Australia, 6015, Australia"
West Gippsland,"Gippsland, Victoria, Australia"
the City of Melville,"City Of Melville, Western Australia, Australia"
Altona Beach,"Altona Beach, Altona, Seaholme, Melbourne, City of Hobsons Bay, Victoria, 3018, Australia"
Sunshine,"Sunshine, Sunshine Footscray, Sunshine, Melbourne, City of Brimbank, Victoria, 3022, Australia"
Bondi Junction,"Bondi Junction, Sydney, Waverley Council, New South Wales, 2022, Australia"
Wattle Grove,"Wattle Grove, Sydney, Liverpool City Council, New South Wales, 2173, Australia"
Wanneroo,"City Of Wanneroo, Western Australia, Australia"
Underwood,"Underwood, Pottawattamie County, Iowa, United States"
South Perth,"South Perth, City of South Perth, Western Australia, 6151, Australia"
Caroline Springs,"Caroline Springs, Melbourne, City of Melton, Victoria, Australia"
Cairnlea,"Cairnlea, Melbourne, City of Brimbank, Victoria, 3023, Australia"
Boroonda,"Boroonda, Pipar City Tehsil, Jodhpur District, Rajasthan, India"
Airdna,None
Bundaberg,"Bundaberg, Bundaberg Region, Queensland, Australia"
Great Lakes,"Great Lakes, North Chicago, Lake County, Illinois, 60088, United States"
Maryborough,"Maryborough, Fraser Coast Regional, Queensland, 4650, Australia"
Nambucca,"Nambucca, 596, Holloway Road, Lower Holloway, London Borough of Islington, London, Greater London, England, N7 8JE, United Kingdom"
Townsville,"Townsville, Townsville City, Queensland, 4810, Australia"
Orana,"Oran ⵡⴻⵀⵔⴰⵏ وهران, دائرة وهران, Oran ⵡⴻⵀⵔⴰⵏ وهران, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر"
Riverina,"Riverina, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia"
Hunter Valley,"Hunter Valley, Apex, Wake County, North Carolina, United States"
Lake Macquarie,"Lake Macquarie, Rathmines, Lake Macquarie City Council, New South Wales, 2283, Australia"
Bendigo,"Bendigo, City of Greater Bendigo, Victoria, 3550, Australia"
Chicago,"Chicago, Cook County, Illinois, United States"
Seattle,"Seattle, King County, Washington, United States"
Spring,"Spring, Harris County, Texas, 77373, United States"
Wiley Park,"Wiley Park, Sydney, Canterbury-Bankstown Council, New South Wales, 2195, Australia"
Perth’s West Leaderville,None
Nightcliff,"Nightcliff, City of Darwin, Northern Territory, Australia"
Kalgoorlie Street,"Kalgoorlie Street, Pimpama, Gold Coast City, Queensland, 4209, Australia"
Gladesville,"Gladesville, Sydney, Council of the City of Ryde, New South Wales, 2111, Australia"
Rose Park,"Rose Park, Adelaide, City of Burnside, South Australia, 5067, Australia"
North Beach,"North Beach, San Francisco, San Francisco City and County, California, 94133, United States"
Unley Park,"Unley Park, Adelaide, City of Unley, South Australia, 5061, Australia"
Bentleigh East,"Bentleigh East, Melbourne, City of Glen Eira, Victoria, 3165, Australia"
Indooroopilly,"Indooroopilly, Brisbane City, Queensland, 4068, Australia"
Jingili,"Jingili, City of Darwin, Northern Territory, Australia"
Unley,"City of Unley, South Australia, Australia"
West End,"West End, Saskatchewan, Canada"
Burwood,"Burwood Council, New South Wales, Australia"
Newport,"Newport, Newport County, Rhode Island, 02840, United States"
Luton,"Luton, East of England, England, LU1 2YN, United Kingdom"
Hazelwood Park,"Hazelwood Park, Adelaide, City of Burnside, South Australia, 5066, Australia"
Collinswood,"Collinswood, Dunedin, Dunedin City, Otago, 9014, New Zealand / Aotearoa"
Carrington Street,"Carrington Street, Hamilton Hill, City Of Cockburn, Western Australia, 6963, Australia"
Deakin,"Deakin, District of Canberra Central, Australian Capital Territory, Australia"
Griffith,"Griffith, Griffith City Council, New South Wales, 2680, Australia"
Strathfield,"Strathfield Municipal Council, New South Wales, Australia"
Strathmore,"Strathmore, Alberta, Canada"
Belle,"Bailleul, Dunkerque, Nord, Hauts-de-France, France métropolitaine, 59270, France"
Harcourts Kingborough,None
Litchfield,"Litchfield, Litchfield County, Connecticut, United States"
Prahran,"Prahran, Melbourne, City of Stonnington, Victoria, 3181, Australia"
Cleveland,"Cleveland, Cuyahoga County, Ohio, United States"
Newlands Grove,"Newlands Grove, Broomfield, Chelmsford, Essex, East of England, England, United Kingdom"
Malvern,"Malvern, Malvern Hills, Worcestershire, West Midlands, England, WR14 2HX, United Kingdom"
Potts Point,"Potts Point, Sydney, Council of the City of Sydney, New South Wales, 2011, Australia"
Coolbinia,"Coolbinia, City Of Stirling, Western Australia, Australia"
Braddon,"Braddon, District of Canberra Central, Australian Capital Territory, 2612, Australia"
Netherby,"Netherby, Ashburton, Ashburton District, Canterbury, ASHBURTON 7700, New Zealand / Aotearoa"
Graceville,"Graceville, Big Stone County, Minnesota, 56240, United States"
Hunters Hill,"The Council of the Municipality of Hunters Hill, New South Wales, Australia"
Donvale,"Donvale, Melbourne, City of Manningham, Victoria, 3111, Australia"
Yarralumla,"Yarralumla, District of Canberra Central, Australian Capital Territory, 2600, Australia"
Seaforth,"Seaforth, Redwood County, Minnesota, United States"
Glenunga,"Glenunga, Adelaide, City of Burnside, South Australia, 5064, Australia"
Rosebery,"Rosebery, Sydney, Council of the City of Sydney, New South Wales, 2018, Australia"
Wilston,"Wilston, Brisbane City, Queensland, 4051, Australia"
Mount Claremont,"Mount Claremont, City of Nedlands, Western Australia, Australia"
Luton Properties,"Ideal Properties, Hazelbury Crescent, Bury Park, Luton, East of England, England, LU1 1DF, United Kingdom"
Bardon,"Le Bardon, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45130, France"
Albert Park,"Albert Park District, St Kilda West, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
Drummoyne,"Drummoyne, Sydney, City of Canada Bay Council, New South Wales, 2047, Australia"
West Beach,"West Beach, Adelaide, City of West Torrens, South Australia, 5024, Australia"
Sisters Beach,"Sisters Beach, Waratah-Wynyard, Tasmania, Australia"
Linden Park,"Linden Park, Cavers, Scottish Borders, Scotland, TD9 8SU, United Kingdom"
Gunn,"Gunn, Craig County, Virginia, United States"
Leanyer,"Leanyer, City of Darwin, Northern Territory, 0811, Australia"
Bonaparte Street,"Bonaparte Street, Geneva, North Providence, Providence County, Rhode Island, 02904, United States"
Johnston,"Johnston, Polk County, Iowa, United States"
Tamarama,"Tamarama, Sydney, Waverley Council, New South Wales, 2026, Australia"
West Perth,"West Perth, City of Perth, Western Australia, 6005, Australia"
Millswood,"Millswood, Adelaide, City of Unley, South Australia, 5034, Australia"
Subiaco,"Subiaco, Roma Capitale, Lazio, 00028, Italia"
Dulwich Hill,"Dulwich Hill, Sydney, Inner West Council, New South Wales, 2203, Australia"
Mosman Park,"Mosman Park, Town of Mosman Park, Western Australia, 6012, Australia"
Newmarket,"Newmarket, West Suffolk, Suffolk, East of England, England, CB8 8NA, United Kingdom"
Toowong,"Toowong, Brisbane City, Queensland, 4066, Australia"
Sorrento,"Sorrento, Napoli, Campania, 80067, Italia"
Royston Park,"Royston Park, Adelaide, The City of Norwood Payneham and St Peters, South Australia, 5070, Australia"
Park Grove,"Park Grove, Lawrence County, Tennessee, United States"
Glebe,"Glebe, Sydney, Council of the City of Sydney, New South Wales, 2037, Australia"
Camp Hill,"Camp Hill, Cumberland County, Pennsylvania, United States"
Wagstaffe,"Wagstaffe, Central Coast Council, New South Wales, 2257, Australia"
Braitling,"Braitling, Town of Alice Springs, Northern Territory, Australia"
Brisbane City,"Brisbane City, Queensland, Australia"
Jas,"Jas, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42110, France"
Weetangera,"Weetangera, District of Belconnen, Australian Capital Territory, 2614, Australia"
Campbelltown,"Campbelltown City Council, South Australia, Australia"
Bevington,"Bevington, Madison County, Iowa, 50033, United States"
Booragoon,"Booragoon, City Of Melville, Western Australia, 6154, Australia"
North Beach Road,"North Beach Road, The Oaks, Brandermill, Chesterfield County, Virginia, 23112, United States"
Coconut Grove,"Coconut Grove, Southwest 28th Lane, Ocean View Heights, Miami, Miami-Dade County, Florida, 33133, United States"
Mitcham,"Mitcham, London Borough of Merton, London, Greater London, England, CR4 3NA, United Kingdom"
Norwood,"Norwood, Peoria County, Illinois, United States"
Coorparoo,"Coorparoo, Brisbane City, Queensland, 4151, Australia"
Umina Beach,"Umina Beach, Central Coast Council, New South Wales, 2257, Australia"
Terrigal,"Terrigal, Central Coast Council, New South Wales, 2260, Australia"
Abbotsford,"Abbotsford, Fraser Valley Regional District, British Columbia, Canada"
Dalkeith,"Dalkeith, Midlothian, Scotland, EH22 1HZ, United Kingdom"
Desert Springs,"Desert Springs, Mohave County, Arizona, 86432, United States"
Henderson Street,"Henderson Street, Eustace, Henderson County, Texas, 75124, United States"
Tooronga,"Tooronga, Milton Parade, Malvern, Kooyong, Melbourne, City of Stonnington, Victoria, 3144, Australia"
Claremont,"Claremont, Los Angeles County, California, United States"
Electrona,"Electrona, Hobart, Kingborough, Tasmania, Australia"
South Yarra,"South Yarra, Prahran, Melbourne, City of Stonnington, Victoria, 3165, Australia"
Waverton,"Waverton, Allerdale, Cumbria, North West England, England, CA7 0AE, United Kingdom"
Virginia,"Virginia, United States"
Box Hill,"Box Hill District, Blackburn, Melbourne, City of Whitehorse, Victoria, 3130, Australia"
Acton Park,"Acton Park, Hobart, City of Clarence, Tasmania, Australia"
Everton Park,"Everton Park, Brisbane City, Queensland, 4053, Australia"
Taroona,"Taroona, Hobart, Kingborough, Tasmania, Australia"
Woolwich,"Woolwich, London, Greater London, England, SE18 6FX, United Kingdom"
Kenthurst,"Kenthurst, Sydney, The Hills Shire Council, New South Wales, 2156, Australia"
Bayview,"Bayview, Cameron County, Texas, United States"
Macmasters Beach,"MacMasters Beach, Central Coast Council, New South Wales, 2251, Australia"
Esplanade,"Esplanade, 90, Bras Basah Road, Downtown Core, Singapore, Central, 189562, Singapore"
New Town,"New Town, New Town/Broughton, City of Edinburgh, Scotland, EH3 6HU, United Kingdom"
Wallis Avenue,"Wallis Avenue, Swallow Beck, Boultham Moor, Bracebridge, Lincoln, Lincolnshire, East Midlands, England, LN6 8AU, United Kingdom"
Garran,"Garran, District of Woden Valley, Australian Capital Territory, Australia"
Melville Street,"Melville Street, Melville, St. Landry Parish, Louisiana, 71353, United States"
Cumberland Park,"Cumberland Park, Tuscaloosa County, Alabama, 35404, United States"
Gilles Street,"Gilles Street, Union Park Gardens, Wilmington, New Castle County, Delaware, 19805, United States"
Hampton,"Hampton, Virginia, United States"
Woollahra,"Woollahra Municipal Council, New South Wales, Australia"
Nesters,"Nesters, Whistler, Whistler Resort Municipality, Squamish-Lillooet Regional District, British Columbia, V0N 1B7, Canada"
Kooyong,"Kooyong, Melbourne, City of Stonnington, Victoria, 3123, Australia"
Fairfield,"Fairfield, Solano County, California, 94533, United States"
Grange,"La Grange, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25380, France"
Cossack,"Cossack, City Of Karratha, Western Australia, Australia"
Turramurra,"Turramurra, Sydney, Ku-ring-gai Council, Upper North Shore, New South Wales, 2074, Australia"
"Trepang Road, Humpty Doo",None
Sherwood,"Sherwood, Pulaski County, Arkansas, 72120, United States"
Mount Eliza,"Mount Eliza, Melbourne, Shire of Mornington Peninsula, Victoria, 3930, Australia"
Begonia Street,"Begonia Street, Pagewood, Sydney, Bayside Council, New South Wales, 2035, Australia"
Brigadoon,"Brigadoon, Lexington, Fayette County, Kentucky, United States"
Wonga Park,"Wonga Park, Melbourne, City of Manningham, Victoria, 3115, Australia"
Port Noarlunga,"Port Noarlunga, Adelaide, City of Onkaparinga, South Australia, 5167, Australia"
