Body_Cleaned,Label
week last year  home taken auction  per cent reported result successful capital city auction statistic preliminary please note minimum sample size  result required report clearance rate melbourne host  auction week  previous week time last year higher  home taken auction  result collected far  per cent successful last week preliminary,0.0
result far week  per cent reported auction result withdrawn across city weekly clearance rate combined capital city sydney  home taken auction week compared  previous week  time last year preliminary clearance rate came  per cent week previous week preliminary,0.0
late january seasonal slowdown week likely exception despite higher volume weekly clearance rate combined capital city melbourne  home taken auction week compared  previous week  time last year  auction result collected far  per cent reported successful,0.0
 per cent final figure time last year  per cent reported auction successful sydney host  auction week increasing  previous week although lower time last year  home taken auction across city preliminary clearance rate came  per cent week slightly previous week,1.0
purchase property  billion per month  monthly average past decade relatively low level investment activity may compounded weak rental market particularly highlyconcentrated investment market like innercity sydney melbourne largely comprised unit stock house sale rise percentage total sale price fall continued fall investment financing,2.0
purchase property  billion per month  monthly average past decade relatively low level investment activity may compounded weak rental market particularly highlyconcentrated investment market like innercity sydney melbourne largely comprised unit stock house sale rise percentage total sale price fall continued fall investment financing,2.0
hammer across combined capital city returning final auction clearance rate  weekly clearance rate combined capital city melbourne preliminary auction clearance rate  recorded across  auction week last week  auction returning final clearance rate  one year ago clearance rate  across  auction  auction held sydney,0.0
final clearance rate  one year ago clearance rate  across  auction  auction held sydney week returning preliminary clearance rate  comparison  auction held previous week final auction clearance rate,0.0
housing price expected keep rising attention turn towards housing affordability importantly unaffordable market sydney melbourne recording mildest growth condition meanwhile affordable capital city darwin perth housing value rising,1.0
housing price expected keep rising attention turn towards housing affordability importantly unaffordable market sydney melbourne recording mildest growth condition meanwhile affordable capital city darwin perth housing value rising,1.0
surpassed precovid level  index  higher previous september  peak every capital city broad restofstate region recorded rise housing value month ranging  surge across darwin relatively mild  rise sydney melbourne continuing trend became evident early pandemic regional housing value rose,1.0
seeing regional home value rising three time pace capital city counterpart home value across regional victoria regional new south wale rose   respectively january compared  increase home value across melbourne sydney according corelogics research director tim lawless divergence metro regional housing,1.0
market closer performance capital city sub market rest regional australia nsw  year annualised growth rate  across illawarra  across newcastle lake macquarie region southern highland shoalhaven region compare average  across sydney submarkets average  across,1.0
also closer average capital city  rest regional victoria  across queensland gold coast sunshine coast seen long term growth rate align closely average increase across capital city sub market   year annualised growth rate surpassed increase every capital,1.0
average  across sydney submarkets average  across rest regional nsw victoria geelong long run annualised growth rate  also closer average capital city  rest regional victoria  across queensland gold coast sunshine coast seen long term growth rate align closely,1.0
 home taken auction across combined capital city  september quarter corelogics head research australia eliza owen say bulk uplift attributed melbourne  uplift attributed resurgence auction scheduled across melbourne vendor,1.0
gain analysis september quarter reflects resilience seen property market throughout  greater capital city market exception melbourne saw increase rate profit making sale september quarter highest rate profit making sale across hobart case since march ,1.0
highest rate profit making sale across hobart case since march  coastal regional market also particularly profitable seller profit making sale representing  resale across six major coastal market geelong illawarra mid north coast newcastle lake macquarie region richmond tweed region sunshine coast sunshine coast hit record high rate profit making sale september quarter  say m,1.0
year capital city unit value holding reasonably firm  house value  excluding melbourne every capital city recorded higher rate capital gain house relative unit  according mr lawless stronger growth condition house unit due range factor,0.0
pace four eight capital still recording dwelling value lower relative previous peak melbourne home value still  march  peak sydney dwelling value need recover  surpassing previous july  peak perth darwin value remain    peak originally posted,2.0
inner city unit market recorded largest fall   months december  house canberra overtake sydney expensive capital city rent  median rental value pw perth darwin best performing capital city rental market  dwelling rent ,2.0
unit diverge  house rent  annually  decline unit rent melbourne sydney inner city unit market recorded largest fall   months december  house canberra overtake sydney expensive capital city rent  median rental,2.0
unit diverge  house rent  annually  decline unit rent melbourne sydney inner city unit market recorded largest fall   months december  house canberra overtake sydney expensive capital city rent  median rental,2.0
dwelling market shifted significantly lower  onset covid pandemic inner brisbane particular seen high level unit development placed downward pressure rent time since onset stage  pandemic restriction march inner brisbane unit rent declined,2.0
uptick investor activity dependent international travel resuming australia vic victoria namely melbourne highest exposure overseas migration source new housing demand prior covid significantly impacted rental value particularly inner city market across greater melbourne unit rent declined  submarkets melbourne city unit,2.0
 share mortgage finance purchase property investor climbed  come long period correction perth property market saw momentum gradually gathering price rent early  rental value across perth grew significantly higher national average  year,1.0
regional qld gross rental yield across state  september  year ago sa south australian rental market tightening past year positive growth adelaide rental market since  september adelaide second highest annual rent value growth city market ,1.0
perspective smaller capital city market may see increasing popularity investor coming month traditional investor market inner city sydney melbourne covid triggered retreat investor likely last overseas migration travel resume originally posted,2.0
rise typical gross rent yield across wa  september  one year ago ta year tasmania source strong capital rental growth annualised growth rental return total annualised return  across state past,1.0
housing operate vacuum many different factor currently supporting housing demand created turn housing market sentiment seeing price rise across small capital city softening price decline across sydney melbourne looking forward may still tailwind come rba left cash rate hold october,1.0
limited new home build could still help soften blow dwelling construction covid since introduction homebuilder scheme new home sale boosted across western australia south australia queensland corelogic data show valuation ordered purpose construction loan seen boost,1.0
limited new home build could still help soften blow dwelling construction covid since introduction homebuilder scheme new home sale boosted across western australia south australia queensland corelogic data show valuation ordered purpose construction loan seen boost,1.0
housing operate vacuum many different factor currently supporting housing demand created turn housing market sentiment seeing price rise across small capital city softening price decline across sydney melbourne looking forward may still tailwind come rba left cash rate hold october,1.0
limited new home build could still help soften blow dwelling construction covid since introduction homebuilder scheme new home sale boosted across western australia south australia queensland corelogic data show valuation ordered purpose construction loan seen boost,1.0
median day market highest sydney metro council area  day september melbourne regional vic day market across melbourne rose  day march september unsurprising see,1.0
market typically rose june quarter  began easing three month september march september biggest increase day market state parkes lga region increasing  day  region significant uplift include canterburybankstown lga day market rose ,1.0
past  month highlighted major shift australian housing market example data hint demand pivoting largest capital city dwelling market regional australia inner city rental market suffered slowdown international migration rent rose outersuburbs perth dwelling may back track longawaited upswing median day market another data insight indicate change demand typical number,1.0
across market regional qld day market steady three month march  day lifestyle area gold coast saw day market climb  three month september  march quarter still yearonyear adelaide regional sa adelaide market held relatively steady covid dwelling,0.0
final clearance rate  performance across two largest capital city remains mixed melbourne continued record subdued level activity sydney volume reached highest level since first week april volume remained extremely low across melbourne slight rise number home,2.0
final clearance rate  performance across two largest capital city remains mixed melbourne continued record subdued level activity sydney volume reached highest level since first week april volume remained extremely low across melbourne slight rise number home,1.0
covid listing number extremely responsive change social distancing policy despite extended lockdown melbourne exception since onsite private inspection resumed th september new listing volume soared,1.0
number new listing melbourne region presented median increase across region  highest increase new listing volume wyndham  melbourne city  whittleseawallan region  new listing good news sign distress significant increase new stock across melbourne mean,0.0
plenty data suggests certain rental market deteriorated amid covid pandemic corelogic data showed  decline national rent value end march end august acute fall unit market sydney melbourne rent value fallen   respectively period closure international border created shock rental demand migrant rent,2.0
response   confidence interval respondent surveyed midtolate august respondent majority located populous state victoria nsw queensland nearly half  real estate principal  property manager across,1.0
plenty data suggests certain rental market deteriorated amid covid pandemic corelogic data showed  decline national rent value end march end august acute fall unit market sydney melbourne rent value fallen   respectively period closure international border created shock rental demand migrant rent,2.0
midmarch early may exacerbated seasonal dip sale listing throughout march april however melbourne reached halfway mark stage  restriction late august national listing activity completely diverged usual listing pattern lead spring  year prior pandemic number new property listed sale nationally,2.0
slowed melbourne far seen largest cumulative decline property value since march  led  decline across inner east region explored recent week steeper decline across melbourne market twofold,2.0
every australian housing market performed way since onset covid pandemic latest corelogic home value index result revealed since march melbourne property value fell  meanwhile act dwelling market reached record high june july rate decline eased,2.0
detailed quarterly survey data provides insight industry resident work sa level february edition suggests food accommodation worker highly concentrated sydney inner west followed sunshine coast coffs harbourgrafton region market likely buoyed relative stability employment across sector worker,1.0
typical first home buyer purchase price averaged closer  july  may  raising threshold  million diversity housing stock first home buyer access stamp duty discount particularly across sydney property value higher capital city incentivising first home buyer expensive presumably larger home earlier life,1.0
employment le affected pandemic social distancing measure eased highest rental value increase across blue mountain house rising  reason rental value increase outersuburban area le clear explanation may,1.0
cbd mean closer region cbd likely rent value fallen corelogic rent value analysed across sa region brisbane sydney melbourne region median property distance cbd compared change total rental market,2.0
cbd mean closer region cbd likely rent value fallen corelogic rent value analysed across sa region brisbane sydney melbourne region median property distance cbd compared change total rental market,2.0
first home buyer accounted  lending month highest share since september  number proportion first home buyer remain well peak however segment market seen sustained improvement past two year dwelling value fallen stamp duty incentive went live nsw,0.0
yearonyear  auction held week last year lower  per cent cleared melbourne preliminary auction clearance rate  per cent recorded across  auction week last week  auction returning final clearance rate  per cent time last year  auction held across city returning clearance rate  per cent,0.0
time last year  auction held across city returning clearance rate  per cent  auction held sydney week returning preliminary clearance rate  per cent comparison  auction held previous week returning final clearance rate,0.0
top  sale state reported last week data week ending  may  australian capital territory  berbet st omalley act  bed  bath  car house  luton property gungahlin  clarke st yarralumla act  bed  bath  car house  peter blackshaw manuka new south wale  arthur st bellevue hill nsw  bed  bath  car house  mcgrath estate agent  wolseley rd mosman nsw  bed  bath  car house  david murphy real estate mosman northern territory  ludmilla tce ludmilla nt  bed  bath  car house  real estate central darwin city  harney st ludmilla nt  bed  bath  car house  first national real estate odonoghues darwin queensland  welsby st new farm qld  bed  bath  car house  ray white ascot  korsman dr thornlands qld  bed  bath  car house  freedom property australia south australia  alexandra ave toorak garden sa  bed  bath  car house  lj hooker kensingtonunley  penfold rd rosslyn park sa  bed  bath  car house  toop toop real estate tasmania  sandy bay rd sandy bay ta  bed  bath  car house  knight frank tasmania  manresa ct sandy bay ta  bed  bath  car house  charlotte peterswald property battery point victoria  south tce clifton hill vic  bed  bath  car house  collins simms  ellesmere rd windsor vic  bed  bath  car house  abercrombys real estate armadale western australia  joseph st west leederville wa  bed  bath  car house  edison property residential north perth  armadale cres coolbinia wa  bed  bath  car house  realmark,0.0
top  sale state reported last week data week ending  may  australian capital territory  berbet st omalley act  bed  bath  car house  luton property gungahlin  clarke st yarralumla act  bed  bath  car house  peter blackshaw manuka new south wale  arthur st bellevue hill nsw  bed  bath  car house  mcgrath estate agent  wolseley rd mosman nsw  bed  bath  car house  david murphy real estate mosman northern territory  ludmilla tce ludmilla nt  bed  bath  car house  real estate central darwin city  harney st ludmilla nt  bed  bath  car house  first national real estate odonoghues darwin queensland  welsby st new farm qld  bed  bath  car house  ray white ascot  korsman dr thornlands qld  bed  bath  car house  freedom property australia south australia  alexandra ave toorak garden sa  bed  bath  car house  lj hooker kensingtonunley  penfold rd rosslyn park sa  bed  bath  car house  toop toop real estate tasmania  sandy bay rd sandy bay ta  bed  bath  car house  knight frank tasmania  manresa ct sandy bay ta  bed  bath  car house  charlotte peterswald property battery point victoria  south tce clifton hill vic  bed  bath  car house  collins simms  ellesmere rd windsor vic  bed  bath  car house  abercrombys real estate armadale western australia  joseph st west leederville wa  bed  bath  car house  edison property residential north perth  armadale cres coolbinia wa  bed  bath  car house  realmark,0.0
top  sale state reported last week data week ending  may  australian capital territory  berbet st omalley act  bed  bath  car house  luton property gungahlin  clarke st yarralumla act  bed  bath  car house  peter blackshaw manuka new south wale  arthur st bellevue hill nsw  bed  bath  car house  mcgrath estate agent  wolseley rd mosman nsw  bed  bath  car house  david murphy real estate mosman northern territory  ludmilla tce ludmilla nt  bed  bath  car house  real estate central darwin city  harney st ludmilla nt  bed  bath  car house  first national real estate odonoghues darwin queensland  welsby st new farm qld  bed  bath  car house  ray white ascot  korsman dr thornlands qld  bed  bath  car house  freedom property australia south australia  alexandra ave toorak garden sa  bed  bath  car house  lj hooker kensingtonunley  penfold rd rosslyn park sa  bed  bath  car house  toop toop real estate tasmania  sandy bay rd sandy bay ta  bed  bath  car house  knight frank tasmania  manresa ct sandy bay ta  bed  bath  car house  charlotte peterswald property battery point victoria  south tce clifton hill vic  bed  bath  car house  collins simms  ellesmere rd windsor vic  bed  bath  car house  abercrombys real estate armadale western australia  joseph st west leederville wa  bed  bath  car house  edison property residential north perth  armadale cres coolbinia wa  bed  bath  car house  realmark,0.0
top  sale state reported last week data week ending  may  australian capital territory  berbet st omalley act  bed  bath  car house  luton property gungahlin  clarke st yarralumla act  bed  bath  car house  peter blackshaw manuka new south wale  arthur st bellevue hill nsw  bed  bath  car house  mcgrath estate agent  wolseley rd mosman nsw  bed  bath  car house  david murphy real estate mosman northern territory  ludmilla tce ludmilla nt  bed  bath  car house  real estate central darwin city  harney st ludmilla nt  bed  bath  car house  first national real estate odonoghues darwin queensland  welsby st new farm qld  bed  bath  car house  ray white ascot  korsman dr thornlands qld  bed  bath  car house  freedom property australia south australia  alexandra ave toorak garden sa  bed  bath  car house  lj hooker kensingtonunley  penfold rd rosslyn park sa  bed  bath  car house  toop toop real estate tasmania  sandy bay rd sandy bay ta  bed  bath  car house  knight frank tasmania  manresa ct sandy bay ta  bed  bath  car house  charlotte peterswald property battery point victoria  south tce clifton hill vic  bed  bath  car house  collins simms  ellesmere rd windsor vic  bed  bath  car house  abercrombys real estate armadale western australia  joseph st west leederville wa  bed  bath  car house  edison property residential north perth  armadale cres coolbinia wa  bed  bath  car house  realmark,0.0
top  sale state reported last week data week ending  may  australian capital territory  berbet st omalley act  bed  bath  car house  luton property gungahlin  clarke st yarralumla act  bed  bath  car house  peter blackshaw manuka new south wale  arthur st bellevue hill nsw  bed  bath  car house  mcgrath estate agent  wolseley rd mosman nsw  bed  bath  car house  david murphy real estate mosman northern territory  ludmilla tce ludmilla nt  bed  bath  car house  real estate central darwin city  harney st ludmilla nt  bed  bath  car house  first national real estate odonoghues darwin queensland  welsby st new farm qld  bed  bath  car house  ray white ascot  korsman dr thornlands qld  bed  bath  car house  freedom property australia south australia  alexandra ave toorak garden sa  bed  bath  car house  lj hooker kensingtonunley  penfold rd rosslyn park sa  bed  bath  car house  toop toop real estate tasmania  sandy bay rd sandy bay ta  bed  bath  car house  knight frank tasmania  manresa ct sandy bay ta  bed  bath  car house  charlotte peterswald property battery point victoria  south tce clifton hill vic  bed  bath  car house  collins simms  ellesmere rd windsor vic  bed  bath  car house  abercrombys real estate armadale western australia  joseph st west leederville wa  bed  bath  car house  edison property residential north perth  armadale cres coolbinia wa  bed  bath  car house  realmark,0.0
top  sale state reported last week data week ending  may  australian capital territory  berbet st omalley act  bed  bath  car house  luton property gungahlin  clarke st yarralumla act  bed  bath  car house  peter blackshaw manuka new south wale  arthur st bellevue hill nsw  bed  bath  car house  mcgrath estate agent  wolseley rd mosman nsw  bed  bath  car house  david murphy real estate mosman northern territory  ludmilla tce ludmilla nt  bed  bath  car house  real estate central darwin city  harney st ludmilla nt  bed  bath  car house  first national real estate odonoghues darwin queensland  welsby st new farm qld  bed  bath  car house  ray white ascot  korsman dr thornlands qld  bed  bath  car house  freedom property australia south australia  alexandra ave toorak garden sa  bed  bath  car house  lj hooker kensingtonunley  penfold rd rosslyn park sa  bed  bath  car house  toop toop real estate tasmania  sandy bay rd sandy bay ta  bed  bath  car house  knight frank tasmania  manresa ct sandy bay ta  bed  bath  car house  charlotte peterswald property battery point victoria  south tce clifton hill vic  bed  bath  car house  collins simms  ellesmere rd windsor vic  bed  bath  car house  abercrombys real estate armadale western australia  joseph st west leederville wa  bed  bath  car house  edison property residential north perth  armadale cres coolbinia wa  bed  bath  car house  realmark,0.0
improvement economic condition demonstrated shift demand side factor like population growth illawarra newcastle geelong ballarat also saw relatively weak upswing compared sydney melbourne market second half  relative stability growth rate mean regional centre may see deep downswing,1.0
corelogic data showed regional centre seen higher capital growth capital city region chart show rolling quarterly growth sydney melbourne brisbane alongside quarterly growth nearby major regional centre positive outcome short term likely tied cyclical pattern change,2.0
recent example people departing higher socioeconomic area part regional australia  estimated  resident form sydney eastern suburb region departed area central coast richmondtweed gold coast normalisation remote work amid covid likely bolster regional migration slow,2.0
week last year higher  home taken auction returning  per cent final clearance rate melbourne preliminary auction clearance rate  per cent recorded across  auction week making best performing auction market according preliminary figure last week higher  auction held across city returning final clearance rate  per,1.0
another week last time sydney clearance rate high  midmay last year weekly clearance rate combined capital city looking smaller auction market canberra came strongest preliminary result  per cent home selling auction week  per cent home perth sold weekend market summary data week ending  may  subregion auction,2.0
time last year  auction held across city returning final clearance rate  per cent  auction held sydney week returning preliminary clearance rate  per cent last week higher  home taken auction returning  per cent final auction clearance rate,0.0
like sydney much slower rate sale much higher stock sale led heightened supply currently  month housing supply sale brisbane highest time year since  elevated volume stock sale coupled falling transaction volume factor driving,1.0
year year since   month supply also one highest amongst capital city month supply adelaide month supply perth month supply hobart month supply darwin month supply canberra major contributor surge dwelling value hobart recent year lack stock sale recently volume stock sale risen however remains quite low reflected fact,0.0
year year since   month supply also one highest amongst capital city month supply adelaide month supply perth month supply hobart month supply darwin month supply canberra major contributor surge dwelling value hobart recent year lack stock sale recently volume stock sale risen however remains quite low reflected fact,0.0
month supply elevated due much lower transaction volume elevated volume stock sale melbourne currently  month housing supply sale although figure reduced slightly recent week still currently higher,2.0
lower capital city slightly higher time last year  month ongoing weak housing condition perth whereby value transaction volume continue fall stock sale mount led increase month supply  month supply supply highest time year year since  ,2.0
function lift amount stock available sale ongoing fall transaction volume currently  month housing stock available sale sydney although still may seem like quite low supply stock sale comparison previous ,0.0
city update darwin canberra hobart available national housing market update national update sydney nsw melbourne vic adelaide sa brisbane qld perth,0.0
looking smaller auction market auction volume increased weekonweek across capital city preliminary result show clearance rate slightly week brisbane city saw increase weekonweek weekend market summary data week ending  may  subregion auction,2.0
result roll week last year final clearance rate recorded  per cent melbourne preliminary auction clearance rate  per cent recorded across  auction week last week  auction returning final clearance rate  per cent time last year  auction held across city returning clearance rate  per cent,0.0
time last year  auction held across city returning clearance rate  per cent  auction held sydney week returning preliminary clearance rate  per cent comparison  auction held previous week returning final clearance rate,0.0
point higher late last year reflects better fit buyer seller expectation price melbourne australia largest auction market preliminary auction clearance rate  per cent recorded across  auction week slightly  per cent final clearance rate last week higher  home auctioned one year ago clearance rate stronger  per cent across  auction weekly clearance rate,0.0
home auctioned one year ago clearance rate stronger  per cent across  auction weekly clearance rate combined capital city  auction held sydney week returning preliminary auction clearance rate  per cent strongest preliminary result across capital city compared  per cent across  last week  per cent across  auction one year ago across smaller auction market preliminary result show perth best performing term,1.0
top  sale state reported last week data week ending  may  australian capital territory  favenc circle griffith act  bed  bath  car house  luton property manuka  hopetoun circuit deakin act  bed  bath  car house  peter blackshaw manuka new south wale  florida road palm beach nsw  bed  bath  car house  ray white prestige palm beach  imhoff place kenthurst nsw  bed  bath  car house  rance property kenthurst northern territory  mcminn street east side nt  bed  bath  car house  lj hooker alice spring  tasman circuit wagaman nt  bed  bath  car house  elder darwin queensland  ryan street west end qld  bed  bath  car house  space property agent south brisbane  ferry road west end qld  bed  bath  car unit  mcgrath estate agent south australia  esplanade port noarlunga sa  bed  bath  car house  ray white unley  wycombe road aldgate sa  bed  bath  car house  harris real estate tasmania  folder street sandy bay ta  bed  bath  car house  knight frank tasmania  begonia street lindisfarne ta  bed  car  bath house  petrusma property lindisfarne victoria  homestead road wonga park vic  bed  bath  car house  jellis craig doncaster  carrington road box hill vic  bed  bath  car house  buxton box hill western australia  marine terrace fremantle wa  bed  bath  car house  riverside real estate mosman park  carmargue drive brigadoon wa  bed  bath  car house  harcourts phoenix,0.0
result collected final clearance rate likely revise low  per cent range melbourne  home taken auction week increasing  previous week week last year saw  home taken auction across city preliminary auction clearance rate,0.0
fact auction clearance rate holding around mid range across major auction market tim lawless said none indicator could described strong current trend data implies housing market condition may moved worst downturn april dwelling value fell across every capital city apart canberra regional area tasmania victoria south australia also avoided fall broadbased nature lower housing value highlight rate decline eased,1.0
rate decline eased geographic scope lower dwelling value remains broad value  hobart signaling weakening across one strongest capital city market value gain leaving canberra capital city dwelling value month annually national dwelling value  largest annual fall since twelve month ending,2.0
since moving monthly low point december last year national dwelling value fell  according corelogic head research tim lawless improvement rate decline attributable easing market downturn across sydney melbourne value previously falling much faster december last year sydney dwelling value  pace monthonmonth fall,2.0
since moving monthly low point december last year national dwelling value fell  according corelogic head research tim lawless improvement rate decline attributable easing market downturn across sydney melbourne value previously falling much faster december last year sydney dwelling value  pace monthonmonth fall,2.0
 per cent final auction clearance rate last week lower  auction held across city remaining auction market saw increase auction activity week exception canberra volume lower performance however varied adelaide recording highest success rate  per cent,2.0
house sold auction week higher unit returned  per cent clearance rate across australia two largest city  melbourne home taken auction week increasing  home auctioned last week however higher volume saw preliminary clearance rate drop  per cent last week  per cent final clearance rate sydney  auction held week returning  per cent preliminary clearance rate improving,1.0
saw increase auction activity week exception canberra volume lower performance however varied adelaide recording highest success rate  per cent  per cent auction cleared perth weekend market summary data week ending  april  subregion auction,2.0
preliminary clearance rate drop  per cent last week  per cent final clearance rate sydney  auction held week returning  per cent preliminary clearance rate improving  per cent final auction clearance rate last week lower  auction held across city remaining auction market saw increase auction activity week exception,0.0
week  per cent week last year clearance rate recorded  per cent melbourne  home taken auction week increasing previous week  week last year  comparison week prior easter  saw  home taken auction across city,0.0
per cent week  per cent previous week  per cent time last year sydney host  auction week preliminary result returning  per cent clearance rate across  result previous week  auction held across city final clearance rate  per cent,0.0
city update darwin canberra hobart available national housing market update national update sydney nsw melbourne vic adelaide sa brisbane qld perth,0.0
result collected one year ago clearance rate  per cent recorded across  auction across smaller auction market canberra perth tasmania saw increase number home taken auction week adelaide brisbane saw lower volume weekonweek weekend market summary data week ending  april  subregion auction,1.0
year auction volume slightly lower  however clearance rate stronger  per cent melbourne host  auction week preliminary result returning  per cent clearance rate previous week  auction held across city final clearance rate coming,1.0
result collected one year ago clearance rate  per cent recorded across  auction across smaller auction market canberra perth tasmania saw increase number home taken auction week adelaide brisbane saw lower volume weekonweek weekend market summary data week ending  april  subregion auction,2.0
time last year  home taken auction final clearance rate  per cent recorded sydney  home taken auction week  last week preliminary clearance rate came  per cent week increasing  per cent last week,2.0
hammer across combined capital city although clearance rate stronger  per cent melbourne preliminary auction clearance rate  per cent recorded across  auction week  per cent across  auction previous week last week clearance rate highest city seen since september  week last,1.0
top  sale state reported last week data week ending  april  australian capital territory  neilson street garran act  bed  bath  car house  peter blackshaw manuka  wynter place hughes act  bed  bath  car house  luton property weston creekmolonglo valley new south wale  wallaroy road woollahra nsw  bed  bath  car house  agency eastern suburb  coolawin road northbridge nsw  bed  bath  car house  richardson wrench northbridge northern territory  lind road johnston nt  bed  bath  car house  real estate central darwin city  kurrajong drive east side nt  bed  bath  car house  professional alice spring queensland  tristania road chapel hill qld  bed  bath  car house  adcock prestige brisbane  scenic road kenmore qld  bed  bath  car house  harcourts calamvale south australia  gilles street adelaide sa  bed  bath  car house  fox real estate adelaide  cumberland avenue cumberland park sa  bed  bath  car house  toop toop real estate tasmania  denmark close taroona ta  bed  bath  car house  petrusma property sandy bay a wentworth street south hobart ta  bed  car  bath house  knight frank tasmania victoria  everton grove surrey hill vic  bed  bath  car house  ray white balwyn  david street hampton vic  bed  bath  car house  marshall white real estate western australia  alderbury street floreat wa  bed  bath  car house  airey real estate claremont  edward street cottesloe wa  bed  bath  car house  mint real estate,0.0
different week last year final clearance rate recorded  per cent melbourne preliminary auction clearance rate  per cent recorded across  auction week last week  auction returning final clearance rate  per cent time last year  auction held across city returning clearance rate  per cent,0.0
time last year  auction held across city returning clearance rate  per cent weekly clearance rate combined capital city  auction held sydney week returning preliminary clearance rate  per cent although revise week result collected comparison  auction held previous week final auction clearance rate,0.0
broader capital city sydney house value fallen   month february  looking five suburb listed kenthurst recorded weaker annual change melbourne house value also  lower past year suburb listed seen,2.0
february  looking five suburb listed kenthurst recorded weaker annual change melbourne house value also  lower past year suburb listed seen moderate value fall across greater melbourne brisbane house value  lower past year two five suburb seen stronger,2.0
auction clearance rate higher  per cent  auction returning successful result  auction held sydney week preliminary result showing  per cent clearance rate  per cent across higher volume auction last week  although usual revise lower final result collected week last year  home taken auction across city returning clearance rate,1.0
city update darwin canberra hobart available national housing market update national update sydney nsw melbourne vic adelaide sa brisbane qld perth,0.0
auction clearance rate across  auction sydney saw  per cent  auction held successful across smaller auction market highest clearance rate adelaide  per cent auction cleared week weekly clearance rate combined capital city looking result property type unit outperformed,1.0
 per cent last week week last year clearance rate recorded  per cent two largest auction market melbourne sydney saw preliminary clearance rate rise however volume lower week week melbourne returned  per cent preliminary auction clearance rate across  auction sydney saw,1.0
 per cent last week week last year clearance rate recorded  per cent two largest auction market melbourne sydney saw preliminary clearance rate rise however volume lower week week melbourne returned  per cent preliminary auction clearance rate across  auction sydney saw,1.0
soft possible similar weakening trend auction market become evident next month  auction held melbourne week preliminary result showing clearance rate  per cent increasing last week final clearance rate recorded  per cent across  auction week last year auction clearance rate significantly higher  per cent,1.0
last year  home taken auction across city returning clearance rate  per cent across smaller auction market brisbane canberra city see rise clearance rate weekonweek auction volume increased everywhere except perth tasmania week data week ending  february  subregion auction,2.0
rate significantly higher  per cent  auction returning successful result weekly clearance rate combined capital city  auction held sydney week preliminary result showing  per cent clearance rate  per cent across  auction last week week last year  home taken auction across city returning clearance rate,0.0
condition remain challenging year year volume continue trend lower throughout year melbourne australia largest auction market preliminary auction clearance rate  per cent recorded across  auction week  per cent final clearance rate last week volume higher   auction held sydney week returning preliminary auction clearance rate  per,1.0
week  per cent final clearance rate last week volume higher   auction held sydney week returning preliminary auction clearance rate  per cent increasing  per cent final clearance rate last week  sydney home taken auction weekly clearance rate combined capital city across smaller auction market preliminary result show,1.0
city update darwin canberra hobart available national housing market update national update sydney nsw melbourne vic adelaide sa brisbane qld perth,0.0
seeing last year  per cent home sold week volume higher  weekly clearance rate combined capital city  sydney home auctioned week returning preliminary auction clearance rate  per cent interestingly sydney best performing capital city auction market according final result last,1.0
week expensive second expensive country canberra week hobart historically affordable capital city rental market however strong rise rent recent year pushed rental cost well adelaide perth actually marginally higher rent brisbane key highlight australia weekly rent fell  december   lower fourth,1.0
