Index,Title,Place_Tag,Relevant_Body2,Label
38,Momentum builds across Australian housing markets as values rise at the fastest rate in seventeen years,NSW," Tim Lawless, a synchronised growth phase like this hasnâ€™t been seen in Australia for more than a decade. â€œThe last time we saw a sustained period where every capital city and rest of state region was rising in value was mid-2009 through to early 2010, as post-GFC stimulus fueled buyer demand.â€ Sydney and Melbourne were among the strongest performing markets, recording a 2.5% and 2.1% lift in home values over the month respectively, as Australiaâ€™s two largest cities caught up from weaker performance through 2020. The quarterly trend however, is still favouring the smaller cities; Darwin housing values rose 5.5% over the",1
54,CoreLogic analysis identifies Victorian households at risk of climate hazards,VIC," throughout Victoria, with high-risk areas in Melbourneâ€™s outskirts, particularly to the north of the city. â€œWhile most parts of Victoria face a moderate to high bushfire risk, the risk is highest around Melbourneâ€™s north-east between Melbourne and the Yarra Ranges, from Ballarat to the border of the Lerderderg and Wombat State Parks, and the Great Otway National Park. â€œFlood risk is significant from Swan Hill to Echuca and Shepparton due to the Murray River, while the flat",2
71,"Over 2,000 homes taken to auction across the combined capital cities",VIC," week last year, 2,517 homes were taken to auction and 72.7 per cent of reported results were successful. Capital City Auction Statistics (Preliminary) Please note: A minimum sample size of 10 results is required to report a clearance rate Melbourne was host to 1,061 auctions this week, up from 635 over the previous week, while this time last year a higher 1,248 homes were taken to auction. Of the 908 results collected so far, 82.2 per cent were successful, down from last weekâ€™s preliminary",0
72,"Over 2,000 homes taken to auction across the combined capital cities",NSW," result. So far this week, just 6.4 per cent of reported auction results were withdrawn across the city. Weekly Clearance Rate, Combined Capital Cities In Sydney, 769 homes were taken to auction this week, compared to 625 over the previous week and 963 this time last year. The preliminary clearance rate came in at 88.2 per cent this week, up from the previous weekâ€™s preliminary",0
74,"Just under 2,500 homes taken to auction across the combined capital cities",VIC," late January after the seasonal slowdown and this week will likely be no exception despite higher volumes. Weekly Clearance Rate, Combined Capital Cities In Melbourne, 1,273 homes were taken to auction this week, compared to 1,095 over the previous week and 1,612 this time last year. Of the 1,091 auction results collected so far, 77.7 per cent were reported as successful, down from the",0
75,"Just under 2,500 homes taken to auction across the combined capital cities",NSW," to 77.4 per cent at final figures. This time last year, 74.8 per cent of reported auctions were successful. Sydney was host to 844 auctions this week, increasing from 768 over the previous week, although lower than this time last year when 1,087 homes were taken to auction across the city. The preliminary clearance rate came in at 88.9 per cent this week, up slightly from the previous weekâ€™s",1
79,The house always wins: why house sales vastly outstripped unit sales over the year,VIC," purchase of property was $5.1 billion per month. This is 22.7% below the monthly average in the past decade. The relatively low levels of investment activity may have been compounded by weak rental markets, particularly in highly-concentrated investment markets like inner-city Sydney and Melbourne, which are largely comprised of unit stock. House sales rise as a percentage of total sales when prices fall. Continued falls in investment financing",2
81,The house always wins: why house sales vastly outstripped unit sales over the year,NSW," purchase of property was $5.1 billion per month. This is 22.7% below the monthly average in the past decade. The relatively low levels of investment activity may have been compounded by weak rental markets, particularly in highly-concentrated investment markets like inner-city Sydney and Melbourne, which are largely comprised of unit stock. House sales rise as a percentage of total sales when prices fall. Continued falls in investment financing",2
83,Preliminary clearance rate improves as volumes rise across the combined capitals,VIC," under the hammer across the combined capital cities, returning a final auction clearance rate of just 67.7%. Weekly Clearance Rate, Combined Capital Cities In Melbourne, a preliminary auction clearance rate of 80.8% was recorded across 592 auctions this week, while last week there were 390 auctions returning a final clearance rate of 80%. One year ago, the clearance rate was just 68.5% across 419 auctions. There were 449 auctions held in Sydney",0
84,Preliminary clearance rate improves as volumes rise across the combined capitals,NSW," a final clearance rate of 80%. One year ago, the clearance rate was just 68.5% across 419 auctions. There were 449 auctions held in Sydney this week, returning a preliminary clearance rate of 89.1%. In comparison, there were 270 auctions held over the previous week and the final auction clearance rate was",0
85,Cash rate unchanged at first RBA Board meeting of 2021,VIC," With housing prices expected to keep rising, attention will once again turn towards housing affordability. Importantly, the most unaffordable markets, Sydney and Melbourne, are recording the mildest growth conditions. Meanwhile, it is the most affordable capital cities of Darwin and Perth, where housing values are rising the",1
86,Cash rate unchanged at first RBA Board meeting of 2021,NSW," With housing prices expected to keep rising, attention will once again turn towards housing affordability. Importantly, the most unaffordable markets, Sydney and Melbourne, are recording the mildest growth conditions. Meanwhile, it is the most affordable capital cities of Darwin and Perth, where housing values are rising the",1
87,Australian housing values reach a new record high as values continue to rise across every broad region of the country,VIC," have surpassed pre-COVID levels by 1.0%, and the index is 0.7% higher than the previous September 2017 peak. Every capital city and broad rest-of-state region recorded a rise in housing values over the month, ranging from a 2.3% surge across Darwin to a relatively mild 0.4% rise in Sydney and Melbourne. Continuing a trend that became evident early in the pandemic, regional housing values rose at more than",1
91,Australian housing values reach a new record high as values continue to rise across every broad region of the country,NSW," are seeing regional home values rising at more than three times the pace of their capital city counterparts. Home values across Regional Victoria and Regional New South Wales rose 1.6% and 1.5% respectively in January compared with a 0.4% increase in home values across Melbourne and Sydney. According to CoreLogicâ€™s research director, Tim Lawless, the divergence between metro and regional housing",1
109,Four charts that show regional returns in a league of their own,NSW," markets are closer to the performance of capital city sub markets than the rest of regional Australia. In NSW, 10 year annualised growth rates were 5.0% across Illawarra, and 4.5% across both the Newcastle Lake Macquarie region, and the Southern Highlands and Shoalhaven region. This compares to an average of 5.1% across the Sydney sub-markets, and an average of just 2.1% across the",1
112,Four charts that show regional returns in a league of their own,QLD," which is also closer to the average of the capital cities (3.7%) than the rest of regional Victoria (2.7%). Across Queensland, the Gold Coast and Sunshine Coast have seen long term growth rates align more closely with average increases across the capital city sub markets (1.5%). But further to this, the 10 year annualised growth rates have surpassed the increases in every other capital",1
115,Four charts that show regional returns in a league of their own,VIC," average of 5.1% across the Sydney sub-markets, and an average of just 2.1% across the rest of regional NSW. In Victoria, Geelong has a long run annualised growth rate of 4.1%, which is also closer to the average of the capital cities (3.7%) than the rest of regional Victoria (2.7%). Across Queensland, the Gold Coast and Sunshine Coast have seen long term growth rates align more closely",1
119,Auction volumes increased by 44 per cent over December quarter,VIC," 20,489 homes taken to auction across the combined capital cities, up from 14,216 over the September quarter. CoreLogicâ€™s Head of Research Australia, Eliza Owen, says the bulk of this uplift can be attributed to Melbourne. â€œ65.2% of the uplift can be attributed to the resurgence of auctions scheduled across Melbourne. Vendor",1
128,"Hobart and regional Victoria profit most, shows latest CoreLogic Pain and Gain report",VIC," Gain analysis for the September quarter reflects the resilience seen in the property market throughout 2020. â€œEach of the greater capital city markets, with the exception of Melbourne, saw an increase in the rate of profit making sales over the September quarter. The highest rate of profit making sales was across Hobart, which has been the case since March 2018.",1
131,"Hobart and regional Victoria profit most, shows latest CoreLogic Pain and Gain report",QLD," The highest rate of profit making sales was across Hobart, which has been the case since March 2018. â€œCoastal regional markets were also particularly profitable for sellers, with profit making sales representing over 95% of resales across six major coastal markets: Geelong, Illawarra, the Mid North Coast, the Newcastle Lake Macquarie region, the Richmond Tweed region and the Sunshine Coast. The Sunshine Coast hit a record high rate of profit making sales in the September quarter at 96.4%â€, says Ms",1
136,"Housing markets build momentum through the end of 2020, pointing to a strong start to 2021",VIC," the year, with capital city unit values holding reasonably firm (+0.2%) while house values were up 2.6%. Excluding Melbourne, every capital city recorded a higher rate of capital gain for houses relative to units in 2020. According to Mr Lawless, the stronger growth conditions for houses over units is due to a range of factors.",0
138,"Housing markets build momentum through the end of 2020, pointing to a strong start to 2021",NSW," pace, four of the eight capitals are still recording dwelling values lower relative to their previous peaks. Melbourne home values are still -4.1% below their March 2020 peak and Sydney dwelling values need to recover a further 3.9% before surpassing the previous July 2017 peak. Perth and Darwin values remain -19.9% and -25.7% below their 2014 peaks. Originally posted on",2
142,2020 rental market finishes the year strong with a decade-high monthly growth rate of 0.6% in December,ACT," inner city unit markets recorded the largest falls, down -7.6% and -5.7% over the 12months to December 2020. Houses in Canberra overtake Sydney as the most expensive capital city to rent in 2020 with a median rental value of $624p/w. Perth and Darwin were the best performing capital city rental markets of 2020, with dwelling rents up 9.7%",2
143,2020 rental market finishes the year strong with a decade-high monthly growth rate of 0.6% in December,VIC," and units diverge through 2020, with house rents up 3.3% annually against a -4.6% decline in unit rents. Melbourne and Sydney inner city unit markets recorded the largest falls, down -7.6% and -5.7% over the 12months to December 2020. Houses in Canberra overtake Sydney as the most expensive capital city to rent in 2020 with a median rental",2
145,2020 rental market finishes the year strong with a decade-high monthly growth rate of 0.6% in December,NSW," and units diverge through 2020, with house rents up 3.3% annually against a -4.6% decline in unit rents. Melbourne and Sydney inner city unit markets recorded the largest falls, down -7.6% and -5.7% over the 12months to December 2020. Houses in Canberra overtake Sydney as the most expensive capital city to rent in 2020 with a median rental",2
153,The retreat of property investors: which State has been most impacted?,QLD," dwelling market shifted significantly lower over 2017, and again with the onset of the COVID-19 pandemic. Inner Brisbane in particular has seen high levels of unit development, which has placed downward pressure on rents over time. Since the onset of Stage 2 pandemic restrictions in March, Inner Brisbane unit rents have declined a further",2
156,The retreat of property investors: which State has been most impacted?,VIC," and an uptick in investor activity, will be dependent on international travel resuming to Australia. VIC. Victoria, namely Melbourne, had the highest exposure to overseas migration as a source of new housing demand prior to COVID-19, which has significantly impacted rental values, particularly those in inner city markets. Across Greater Melbourne, unit rents have declined 5.5%, but in submarkets such as Melbourne City, unit",2
161,The retreat of property investors: which State has been most impacted?,WA," at 14.5%, the share of mortgage finance for the purchase of property to investors has climbed to 17.0%. This comes after a long period of correction in the Perth property market, which saw momentum gradually gathering in prices and rents from early 2020. Rental values across Perth grew significantly higher than the national average, at 4.8% in the year to",1
163,The retreat of property investors: which State has been most impacted?,SA," regional QLD. Gross rental yields across the state were 4.8% in September, down from 5.0% a year ago. SA. South Australian rental markets have been tightening for the past few years, with positive growth in the Adelaide rental market since 2017. At September, Adelaide had the second highest annual rent value growth of the city markets at 2.6% over the",1
165,The retreat of property investors: which State has been most impacted?,NSW," perspective, smaller capital city markets may see increasing popularity from investors in the coming months. For the traditional investor markets such as inner city Sydney and Melbourne, COVID-19 has triggered a further retreat of investors that is likely to last until overseas migration and travel resumes. Originally posted on",2
166,The retreat of property investors: which State has been most impacted?,TAS," to rise. Typical gross rent yields across WA were 4.7% at September, up from 4.6% one year ago. TAS. For years, Tasmania has been a source of strong capital and rental growth. Between annualised growth and rental return, total annualised return was 12.3% across the state for the past",1
173,What does the federal budget mean for the Australian housing market?,VIC," that housing does not operate in a vacuum. Many different factors are currently supporting housing demand. This has created a turn in housing market sentiment, which is seeing prices rise across the small capital cities, and a softening of price declines across Sydney and Melbourne. Looking forward, there may still be more tailwinds to come. The RBA left the cash rate on hold in October",1
174,What does the federal budget mean for the Australian housing market?,QLD," limited to new home builds could still help soften the blow to dwelling construction through COVID-19. Since the introduction of the HomeBuilder scheme, new home sales have been boosted across Western Australia, South Australia and Queensland. CoreLogic data shows valuations ordered for the purpose of construction loans have seen a boost above",1
175,What does the federal budget mean for the Australian housing market?,SA," limited to new home builds could still help soften the blow to dwelling construction through COVID-19. Since the introduction of the HomeBuilder scheme, new home sales have been boosted across Western Australia, South Australia and Queensland. CoreLogic data shows valuations ordered for the purpose of construction loans have seen a boost above",1
176,What does the federal budget mean for the Australian housing market?,NSW," that housing does not operate in a vacuum. Many different factors are currently supporting housing demand. This has created a turn in housing market sentiment, which is seeing prices rise across the small capital cities, and a softening of price declines across Sydney and Melbourne. Looking forward, there may still be more tailwinds to come. The RBA left the cash rate on hold in October",1
178,What does the federal budget mean for the Australian housing market?,WA," limited to new home builds could still help soften the blow to dwelling construction through COVID-19. Since the introduction of the HomeBuilder scheme, new home sales have been boosted across Western Australia, South Australia and Queensland. CoreLogic data shows valuations ordered for the purpose of construction loans have seen a boost above",1
184,CoreLogic data reveals where buyerâ€™s bargaining power is rising,VIC, median days on market were the highest of the Sydney metro council areas at 63 days through to September. Melbourne and Regional VIC. Days on market across Melbourne rose 6 days between March and September. It is unsurprising to see this,1
187,CoreLogic data reveals where buyerâ€™s bargaining power is rising,NSW," on market typically rose from the June quarter of 2020, and began easing in the three months to September. Between March and September, the biggest increase in days on market in the state was in the Parkes LGA region, increasing by 48 days to 132. Other regions with a significant uplift include the Canterbury-Bankstown LGA, where days on market rose 20",1
188,CoreLogic data reveals where buyerâ€™s bargaining power is rising,WA,"The past 6 months have highlighted major shifts in Australian housing markets. For example, data hints at demand pivoting from the largest capital city dwelling markets to regional Australia, inner city rental markets suffered from a slowdown in international migration while rents rose in outer-suburbs, and Perth dwellings may be back on track for a long-awaited upswing. Median days on market is another data insight that can indicate changes in demand. It is the typical number",1
203,CoreLogic data reveals where buyerâ€™s bargaining power is rising,QLD," across the market. In regional QLD, days on market were steady on the three months to March, at 58 days. Lifestyle areas such as the Gold Coast saw days on market climb to 49 in the three months to September, from 43 in the March quarter, but are still down year-on-year. Adelaide and Regional SA. The Adelaide market has held relatively steady through COVID-19, with dwelling",0
204,70.5% of homes sell as volumes increased across the capital cities,VIC," with a final clearance rate of 71%. The performance across the two largest capital cities remains mixed. Melbourne continued to record very subdued levels of activity, while Sydney volumes reached their highest level since the first week of April. While volumes remained extremely low across Melbourne, there was a slight rise in the number of homes",2
207,70.5% of homes sell as volumes increased across the capital cities,NSW," with a final clearance rate of 71%. The performance across the two largest capital cities remains mixed. Melbourne continued to record very subdued levels of activity, while Sydney volumes reached their highest level since the first week of April. While volumes remained extremely low across Melbourne, there was a slight rise in the number of homes",1
211,"New listings soar across Melbourne, overtaking Sydney as restrictions ease",VIC," COVID-19 is that listings numbers have been extremely responsive to changes in social distancing policies. Despite an extended lockdown, Melbourne is no exception. Since onsite, private inspections resumed on the 28th of September, new listings volumes have soared. The",1
225,"New listings soar across Melbourne, overtaking Sydney as restrictions ease",WA," number of new listings by Melbourne region is presented below. The median increase across regions was 139. The highest increase in new listings volumes was in Wyndham (314), Melbourne City (273) and the Whittlesea-Wallan region (256). New listings: Good news or a sign of distress? A significant increase in new stock across Melbourne can mean",0
228,Corelogic Survey Suggests Residential Landlords Have Been Inclined To Keep Rents Steady During The COVID-19 Pandemic,VIC,"Plenty of data suggests certain rental markets have deteriorated amid the COVID-19 pandemic. CoreLogic data showed a 0.8% decline in national rent values from the end of March to the end of August, with more acute falls in the unit markets of Sydney and Melbourne, where rent values have fallen 4.2% and 4.4% respectively over the same period. The closure of international borders has created a shock to rental demand, as most migrants rent when they",2
229,Corelogic Survey Suggests Residential Landlords Have Been Inclined To Keep Rents Steady During The COVID-19 Pandemic,QLD," in the responses of 7% at a 95% confidence interval. Respondents were surveyed over mid-to-late August. Of the respondents, the majority were located in the most populous states of Victoria, NSW and Queensland. Nearly half (48.6%) were real estate principals, while a further 35.8% were property managers. Across the",1
230,Corelogic Survey Suggests Residential Landlords Have Been Inclined To Keep Rents Steady During The COVID-19 Pandemic,NSW,"Plenty of data suggests certain rental markets have deteriorated amid the COVID-19 pandemic. CoreLogic data showed a 0.8% decline in national rent values from the end of March to the end of August, with more acute falls in the unit markets of Sydney and Melbourne, where rent values have fallen 4.2% and 4.4% respectively over the same period. The closure of international borders has created a shock to rental demand, as most migrants rent when they",2
235,COVID-19 Creates An Unusual Start To The Spring Selling Season,VIC," mid-March to early May. This exacerbated the seasonal dip in for sale listings throughout March and April. However, as Melbourne reached the halfway mark of its Stage 4 restrictions in late August, national listings activity has completely diverged from the usual listings patterns in the lead up to spring. In the 4 years prior to the pandemic, the number of new properties listed for sale nationally has, on",2
246,Why Have The Capital Cities Performed Differently Amid COVID-19?,NSW," slowed. Melbourne has so far seen the largest cumulative declines in property values since March (3.5%). This was led by a 5.2% decline across the Inner East region. As has been explored in recent weeks, the steeper decline across the Melbourne market is two-fold.",2
247,Why Have The Capital Cities Performed Differently Amid COVID-19?,VIC,"Not every Australian housing market has performed the same way since the onset of the COVID-19 pandemic. The latest CoreLogic Home Value Index results revealed that since March, Melbourne property values fell 3.5%. Meanwhile, the ACT dwelling market reached a record high. From June to July, the rate of decline eased",2
261,Why Have The Capital Cities Performed Differently Amid COVID-19?,QLD," The detailed quarterly survey data provides insight into what industry residents work in, at the SA4 level. The February edition suggests that most food and accommodation workers are highly concentrated in Sydneyâ€™s Inner West, followed by the Sunshine Coast and the Coffs Harbour-Grafton region. This market has likely been buoyed by the relative stability in employment across sectors where workers are",1
262,The impact of stamp duty discounts on the NSW housing market,NSW," that a typical first home buyer purchase price averaged closer to $625,000 between July 2019 and May 2020. By raising the threshold to $1 million, there is more diversity in the housing stock that first home buyers can access with stamp duty discounts, particularly across Sydney where property values are higher than in other capital cities. But by incentivising first home buyers into a more expensive, and presumably larger home earlier in life,",1
263,Properties closer to the city are more likely to see a decline in rent values,NSW," where employment has been less affected by the pandemic, and social distancing measures have eased. The highest rental value increases were across Blue Mountains houses, rising 3.3%. The reason for rental value increases in outer-suburban areas are less clear. On explanation may be that",1
264,Properties closer to the city are more likely to see a decline in rent values,QLD," CBD. This means that the closer a region is to the CBD, the more likely it is that rent values have fallen. CoreLogic rent values were analysed across SA3 regions of Brisbane, Sydney and Melbourne. For each region, the median property distance to the CBD was compared with the change in total rental market",2
266,Properties closer to the city are more likely to see a decline in rent values,VIC," CBD. This means that the closer a region is to the CBD, the more likely it is that rent values have fallen. CoreLogic rent values were analysed across SA3 regions of Brisbane, Sydney and Melbourne. For each region, the median property distance to the CBD was compared with the change in total rental market",2
270,Housing finance slide continues in May,NSW," first home buyers accounted for 28.5% of all lending over the month, its highest share since September 2012. The number and proportion of first home buyers remain well below peaks, however this segment of the market has seen a sustained improvement over the past two years as dwelling values have fallen and stamp duty incentive went live in NSW and",0
271,First week of July sees combined capital city clearance rate above 60 per cent for 4th consecutive week,VIC," year-on-year, with 1,411 auctions held over the same week last year when a lower 52.6 per cent cleared. In Melbourne, a preliminary auction clearance rate of 70.3 per cent was recorded across 388 auctions this week, while last week there were 535 auctions returning a final clearance rate of 68.6 per cent. This time last year, 631 auctions were held across the city, returning a clearance rate of 56.1 per cent.",0
272,First week of July sees combined capital city clearance rate above 60 per cent for 4th consecutive week,NSW," This time last year, 631 auctions were held across the city, returning a clearance rate of 56.1 per cent. There were 352 auctions held in Sydney this week returning a preliminary clearance rate of 78.2 per cent. In comparison, there were just 503 auctions held over the previous week returning a final clearance rate of",0
273,Top sales in your state last week,ACT,"Top 2 Sales in your state as reported last week All data to week ending 26 May 2019 Australian Capital Territory 3 Berbet St, O'Malley, ACT 4 bed, 3 bath, 2 car house $1,900,000 Luton Properties Gungahlin 13 Clarke St, Yarralumla, ACT 4 bed, 2 bath, 2 car house $1,610,000 Peter Blackshaw Manuka New South Wales 12 Arthur St, Bellevue Hill, NSW 6 bed, 4 bath, 2 car house $5,625,000 McGrath Estate Agents 58 Wolseley Rd, Mosman, NSW 4 bed, 3 bath, 2 car house $4,555,000 David Murphy Real Estate Mosman Northern Territory 18 Ludmilla Tce, Ludmilla, NT 4 bed, 2 bath, 2 car house $675,000 Real Estate Central Darwin City 18 Harney St, Ludmilla, NT 4 bed, 4 bath, 6 car house $650,000 First National Real Estate O'Donoghues Darwin Queensland 56 Welsby St, New Farm, Qld 4 bed, 3 bath, 2 car house $1,525,000 Ray White Ascot 2 Korsman Dr, Thornlands, Qld 4 bed, 4 bath, 2 car house $1,500,000 Freedom Property Australia South Australia 140 Alexandra Ave, Toorak Gardens, SA 3 bed, 2 bath, 2 car house $1,660,000 LJ Hooker Kensington/Unley 69 Penfold Rd, Rosslyn Park, SA 7 bed, 5 bath, 4 car house $1,600,000 Toop & Toop Real Estate Tasmania 760 Sandy Bay Rd, Sandy Bay, Tas 4 bed, 3 bath, 1 car house $1,500,000 Knight Frank Tasmania 2 Manresa Ct, Sandy Bay, Tas 4 bed, 2 bath, 1 car house $1,300,000 Charlotte Peterswald For Property Battery Point Victoria 6 South Tce, Clifton Hill, Vic 5 bed, 3 bath, 2 car house $4,515,000 Collins Simms 9 Ellesmere Rd, Windsor, Vic 5 bed, 3 bath, 2 car house $2,888,000 Abercrombyâ€˜s Real Estate Armadale Western Australia 17 Joseph St, West Leederville, WA 5 bed, 2 bath, 2 car house $1,825,000 Edison Property Residential North Perth 65 Armadale Cres, Coolbinia, WA 4 bed, 4 bath, 2 car house $1,650,000 Realmark",0
275,Top sales in your state last week,WA,"Top 2 Sales in your state as reported last week All data to week ending 26 May 2019 Australian Capital Territory 3 Berbet St, O'Malley, ACT 4 bed, 3 bath, 2 car house $1,900,000 Luton Properties Gungahlin 13 Clarke St, Yarralumla, ACT 4 bed, 2 bath, 2 car house $1,610,000 Peter Blackshaw Manuka New South Wales 12 Arthur St, Bellevue Hill, NSW 6 bed, 4 bath, 2 car house $5,625,000 McGrath Estate Agents 58 Wolseley Rd, Mosman, NSW 4 bed, 3 bath, 2 car house $4,555,000 David Murphy Real Estate Mosman Northern Territory 18 Ludmilla Tce, Ludmilla, NT 4 bed, 2 bath, 2 car house $675,000 Real Estate Central Darwin City 18 Harney St, Ludmilla, NT 4 bed, 4 bath, 6 car house $650,000 First National Real Estate O'Donoghues Darwin Queensland 56 Welsby St, New Farm, Qld 4 bed, 3 bath, 2 car house $1,525,000 Ray White Ascot 2 Korsman Dr, Thornlands, Qld 4 bed, 4 bath, 2 car house $1,500,000 Freedom Property Australia South Australia 140 Alexandra Ave, Toorak Gardens, SA 3 bed, 2 bath, 2 car house $1,660,000 LJ Hooker Kensington/Unley 69 Penfold Rd, Rosslyn Park, SA 7 bed, 5 bath, 4 car house $1,600,000 Toop & Toop Real Estate Tasmania 760 Sandy Bay Rd, Sandy Bay, Tas 4 bed, 3 bath, 1 car house $1,500,000 Knight Frank Tasmania 2 Manresa Ct, Sandy Bay, Tas 4 bed, 2 bath, 1 car house $1,300,000 Charlotte Peterswald For Property Battery Point Victoria 6 South Tce, Clifton Hill, Vic 5 bed, 3 bath, 2 car house $4,515,000 Collins Simms 9 Ellesmere Rd, Windsor, Vic 5 bed, 3 bath, 2 car house $2,888,000 Abercrombyâ€˜s Real Estate Armadale Western Australia 17 Joseph St, West Leederville, WA 5 bed, 2 bath, 2 car house $1,825,000 Edison Property Residential North Perth 65 Armadale Cres, Coolbinia, WA 4 bed, 4 bath, 2 car house $1,650,000 Realmark",0
276,Top sales in your state last week,NT,"Top 2 Sales in your state as reported last week All data to week ending 26 May 2019 Australian Capital Territory 3 Berbet St, O'Malley, ACT 4 bed, 3 bath, 2 car house $1,900,000 Luton Properties Gungahlin 13 Clarke St, Yarralumla, ACT 4 bed, 2 bath, 2 car house $1,610,000 Peter Blackshaw Manuka New South Wales 12 Arthur St, Bellevue Hill, NSW 6 bed, 4 bath, 2 car house $5,625,000 McGrath Estate Agents 58 Wolseley Rd, Mosman, NSW 4 bed, 3 bath, 2 car house $4,555,000 David Murphy Real Estate Mosman Northern Territory 18 Ludmilla Tce, Ludmilla, NT 4 bed, 2 bath, 2 car house $675,000 Real Estate Central Darwin City 18 Harney St, Ludmilla, NT 4 bed, 4 bath, 6 car house $650,000 First National Real Estate O'Donoghues Darwin Queensland 56 Welsby St, New Farm, Qld 4 bed, 3 bath, 2 car house $1,525,000 Ray White Ascot 2 Korsman Dr, Thornlands, Qld 4 bed, 4 bath, 2 car house $1,500,000 Freedom Property Australia South Australia 140 Alexandra Ave, Toorak Gardens, SA 3 bed, 2 bath, 2 car house $1,660,000 LJ Hooker Kensington/Unley 69 Penfold Rd, Rosslyn Park, SA 7 bed, 5 bath, 4 car house $1,600,000 Toop & Toop Real Estate Tasmania 760 Sandy Bay Rd, Sandy Bay, Tas 4 bed, 3 bath, 1 car house $1,500,000 Knight Frank Tasmania 2 Manresa Ct, Sandy Bay, Tas 4 bed, 2 bath, 1 car house $1,300,000 Charlotte Peterswald For Property Battery Point Victoria 6 South Tce, Clifton Hill, Vic 5 bed, 3 bath, 2 car house $4,515,000 Collins Simms 9 Ellesmere Rd, Windsor, Vic 5 bed, 3 bath, 2 car house $2,888,000 Abercrombyâ€˜s Real Estate Armadale Western Australia 17 Joseph St, West Leederville, WA 5 bed, 2 bath, 2 car house $1,825,000 Edison Property Residential North Perth 65 Armadale Cres, Coolbinia, WA 4 bed, 4 bath, 2 car house $1,650,000 Realmark",0
